"PC","Variance"
880,6.26639727846188e-05
881,6.22758744367697e-05
882,6.2068112997311e-05
883,6.1893752650191e-05
884,6.16652868410153e-05
885,6.13574130037613e-05
886,6.11871147045241e-05
887,6.10084933416935e-05
888,6.08227220891457e-05
889,6.06174393622911e-05
890,6.04741409455382e-05
891,6.02995579110123e-05
892,6.01731411337595e-05
893,5.96738421879258e-05
894,5.95749625575132e-05
895,5.94815558160133e-05
896,5.93279156841475e-05
897,5.89712615028509e-05
898,5.85999239856566e-05
899,5.84592790955988e-05
900,5.83009359982743e-05
901,5.79870020097667e-05
902,5.78735068485008e-05
903,5.77339841679361e-05
904,5.74889794596153e-05
905,5.7200555992287e-05
906,5.71751151704671e-05
907,5.70827616565399e-05
908,5.69838435816915e-05
909,5.67987562250001e-05
910,5.65778044455114e-05
911,5.65320453329843e-05
912,5.62255546396828e-05
913,5.60301506877299e-05
914,5.58741302074517e-05
915,5.566883520819e-05
916,5.54940697224364e-05
917,5.52554909867398e-05
918,5.49926890573638e-05
919,5.45511600888081e-05
920,5.44067572792218e-05
921,5.42968394718837e-05
922,5.42054177155438e-05
923,5.39661561657533e-05
924,5.38174449937826e-05
925,5.36050058634627e-05
926,5.34049624848915e-05
927,5.3068697899767e-05
928,5.29611519624203e-05
929,5.28805115440711e-05
930,5.26521001436834e-05
931,5.25333954499184e-05
932,5.23272158042332e-05
933,5.21781367087146e-05
934,5.19187485596167e-05
935,5.17517495047919e-05
936,5.14951638517444e-05
937,5.14074687016583e-05
938,5.13427290817386e-05
939,5.10904098403906e-05
940,5.07631935078343e-05
941,5.05032689536841e-05
942,5.04824627951738e-05
943,5.03679125241489e-05
944,5.01388554400249e-05
945,4.98101096991035e-05
946,4.97192939052217e-05
947,4.94258316864487e-05
948,4.91203649384859e-05
949,4.88900809519276e-05
950,4.88239182778183e-05
951,4.87940271572721e-05
952,4.85772633847411e-05
953,4.83933031561067e-05
954,4.81613984045805e-05
955,4.80147018087823e-05
956,4.7893320020846e-05
957,4.76526158752289e-05
958,4.75733059954109e-05
959,4.74230999316441e-05
960,4.72360608130381e-05
961,4.71161323987059e-05
962,4.67796317312717e-05
963,4.6640445374983e-05
964,4.65363092822628e-05
965,4.62847397713889e-05
966,4.61600825366342e-05
967,4.58954390761357e-05
968,4.58614941007803e-05
969,4.56363877997218e-05
970,4.55110441702108e-05
971,4.54003378941414e-05
972,4.53445396817819e-05
973,4.51292193203712e-05
974,4.49820189178341e-05
975,4.48950642430293e-05
976,4.47981096343229e-05
977,4.43967281010196e-05
978,4.42445994658513e-05
979,4.40946262498844e-05
980,4.40319353588421e-05
