"PC1","PC2","PC3","System","Type"
-439.244773256404,106.598127227084,9.65328871629522,"AZD5305","Unknown"
-426.497554969243,105.732190220315,11.3982130463324,"AZD5305","Unknown"
-450.814173422955,101.227639641495,29.0670795225744,"AZD5305","Unknown"
-449.397089473239,75.2679437067998,29.0161549429011,"AZD5305","Unknown"
-447.608144439043,71.8486091989369,26.4029924627097,"AZD5305","Unknown"
-464.676289730902,66.0326735675442,35.3981731439342,"AZD5305","Unknown"
-465.56340385424,60.6549625149958,26.1368909961845,"AZD5305","Unknown"
-462.521113514677,62.9079536501102,27.8997051811614,"AZD5305","Unknown"
-471.554746125925,52.3847159766555,40.4673205415858,"AZD5305","Unknown"
-451.081539642227,42.6705992539279,41.2044846898717,"AZD5305","Unknown"
-454.408028606658,39.4132352978694,38.4835900856378,"AZD5305","Unknown"
-465.109354129072,60.059759536754,37.9898649463562,"AZD5305","Unknown"
-479.153064607647,65.5043888118312,43.6923089349575,"AZD5305","Unknown"
-474.863050175129,63.2615635745932,32.0677297894875,"AZD5305","Unknown"
-459.458069520327,60.5456509850988,35.1378156917414,"AZD5305","Unknown"
-458.121006587932,64.2203950074184,12.3621273548379,"AZD5305","Unknown"
-446.743985277056,82.6797863620947,17.0396247232297,"AZD5305","Unknown"
-459.311586010434,64.976490709933,1.98548276149505,"AZD5305","Unknown"
-456.682667662797,84.8364742711536,2.02147451679869,"AZD5305","Unknown"
-458.568554576055,57.075219591436,13.2279631099176,"AZD5305","Unknown"
-435.179288386599,56.5371650618307,23.5989973038737,"AZD5305","Unknown"
-448.973896350086,68.4689363670839,20.5484551785394,"AZD5305","Unknown"
-433.025466280715,60.2015735026989,11.3645217964359,"AZD5305","Unknown"
-446.503627966953,67.9384895411395,15.8314345640813,"AZD5305","Unknown"
-442.978393253506,66.9079344141663,21.0976324815074,"AZD5305","Unknown"
-446.731162615688,76.4985462540421,9.0831753278992,"AZD5305","Unknown"
-441.467206376564,67.0573336535274,7.94291163332299,"AZD5305","Unknown"
-425.738659493854,67.170621868424,6.78998937402868,"AZD5305","Unknown"
-435.538573547854,85.592759743925,9.05374639493171,"AZD5305","Unknown"
-423.197930136911,93.7947725040204,7.59092532728769,"AZD5305","Unknown"
-412.881645625956,89.3780562059063,-8.92746707046121,"AZD5305","Unknown"
-411.43733508494,79.9486489431145,-2.89159252785924,"AZD5305","Unknown"
-411.446519063721,85.6290084065693,-0.376593604414005,"AZD5305","Unknown"
-406.214159628734,80.472024343771,4.71950270185503,"AZD5305","Unknown"
-403.112552822653,78.3560782628617,0.0407063535040859,"AZD5305","Unknown"
-390.623794198182,73.0909248230957,-0.161737570599347,"AZD5305","Unknown"
-390.963821488101,65.3832029608576,-6.719189475894,"AZD5305","Unknown"
-399.96229324819,59.4772071257528,-22.3937791696185,"AZD5305","Unknown"
-413.733453801597,46.0850454033667,-16.838020144264,"AZD5305","Unknown"
-392.819810449117,41.5205482329506,-5.24670797249279,"AZD5305","Unknown"
-390.035054730285,34.6246803629347,22.0684589122021,"AZD5305","Unknown"
